region,decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
Argentina,440,9,1.01,1.06,0.1299038105676658,0.8800961894323343,1.1399038105676658
Argentina,450,10,0.85,0.875,0.10317191693694774,0.7468280830630523,0.9531719169369477
Argentina,460,20,0.6809999999999999,0.7,0.23460829616954926,0.4463917038304507,0.9156082961695492
Argentina,470,20,0.5545,0.52,0.19154427823956474,0.3629557217604352,0.7460442782395648
Argentina,480,20,0.44749999999999995,0.435,0.15983132556410506,0.2876686744358949,0.6073313255641051
Argentina,490,20,0.4095,0.39,0.13512080364972437,0.27437919635027563,0.5446208036497243
Argentina,500,20,0.341,0.345,0.06592659394715977,0.27507340605284025,0.4069265939471598
Argentina,510,20,0.34750000000000003,0.35,0.06111895218170443,0.2863810478182956,0.40861895218170446
Argentina,520,20,0.446,0.46,0.10343571611595799,0.34256428388404203,0.549435716115958
Argentina,530,20,0.425,0.435,0.05306401298134368,0.3719359870186563,0.47806401298134366
Argentina,540,20,0.269,0.225,0.09738150694426967,0.17161849305573035,0.3663815069442697
Argentina,550,20,0.254,0.27,0.043937755015356364,0.21006224498464365,0.29793775501535635
Argentina,560,20,0.2305,0.23,0.05155222186237338,0.17894777813762663,0.2820522218623734
Argentina,570,20,0.2125,0.21000000000000002,0.05674272501480047,0.15575727498519953,0.26924272501480045
Argentina,580,20,0.288,0.28500000000000003,0.06740295167673922,0.22059704832326077,0.3554029516767392
Argentina,590,20,0.39249999999999996,0.37,0.15255283812847478,0.23994716187152518,0.5450528381284747
Argentina,600,20,0.391,0.37,0.11706498420243258,0.2739350157975674,0.5080649842024326
Argentina,610,20,0.2965,0.275,0.06815423684555494,0.22834576315444505,0.3646542368455549
Argentina,620,20,0.1945,0.195,0.038726435959241884,0.15577356404075812,0.2332264359592419
Argentina,630,20,0.1995,0.21,0.04097174893174949,0.15852825106825053,0.2404717489317495
Argentina,640,20,0.17450000000000002,0.175,0.047181062213338815,0.1273189377866612,0.22168106221333883
Argentina,650,20,0.28850000000000003,0.28,0.12058083115530953,0.1679191688446905,0.4090808311553096
Argentina,660,20,0.31100000000000005,0.315,0.07062875514003895,0.2403712448599611,0.381628755140039
Argentina,670,20,0.31,0.315,0.06399013081800398,0.24600986918199602,0.373990130818004
Argentina,680,20,0.2495,0.255,0.0690137286113575,0.18048627138864248,0.3185137286113575
Argentina,690,20,0.1985,0.195,0.050915306353322004,0.147584693646678,0.249415306353322
Argentina,700,20,0.1985,0.195,0.04782368935117715,0.15067631064882286,0.24632368935117716
Argentina,710,20,0.1555,0.155,0.04524494737711488,0.11025505262288512,0.20074494737711487
Argentina,720,20,0.2085,0.175,0.06823141736611862,0.14026858263388137,0.2767314173661186
Argentina,730,26,0.35307692307692307,0.33,0.14104663713167304,0.21203028594525003,0.4941235602085961
Argentina,740,30,0.2983333333333334,0.28500000000000003,0.10651479849697212,0.19181853483636127,0.40484813183030555
Argentina,750,30,0.252,0.25,0.05725924108521849,0.19474075891478151,0.3092592410852185
Argentina,760,30,0.24333333333333332,0.24,0.08367973978553418,0.15965359354779912,0.3270130731188675
Argentina,770,30,0.202,0.19,0.09219170431675286,0.10980829568324715,0.2941917043167529
Argentina,780,30,0.20166666666666666,0.185,0.09303626780152341,0.10863039886514325,0.29470293446819007
Argentina,790,30,0.27366666666666667,0.265,0.1399133557829158,0.13375331088375086,0.4135800224495825
Argentina,800,30,0.27299999999999996,0.27,0.14022518835172182,0.13277481164827815,0.4132251883517218
Argentina,810,30,0.2833333333333333,0.29000000000000004,0.10790587639660566,0.17542745693672768,0.391239209729939
Argentina,820,30,0.26566666666666666,0.22999999999999998,0.10931395258559201,0.15635271408107465,0.3749806192522587
Argentina,830,37,0.292972972972973,0.2,0.22586703149400958,0.0671059414789634,0.5188400044669825
Argentina,840,40,0.31525,0.195,0.28492002926597326,0.030329970734026712,0.6001700292659733
Argentina,850,40,0.28700000000000003,0.195,0.21468163668140114,0.0723183633185989,0.5016816366814012
Argentina,860,40,0.34025,0.225,0.28310990436351385,0.05714009563648614,0.6233599043635139
Argentina,870,40,0.386,0.275,0.2626960806126174,0.12330391938738261,0.6486960806126174
Argentina,880,40,0.362,0.275,0.21151710847940217,0.15048289152059782,0.5735171084794022
Argentina,890,40,0.32525,0.245,0.1991905092477023,0.1260594907522977,0.5244405092477022
Argentina,900,40,0.31825000000000003,0.28,0.16447098567286914,0.1537790143271309,0.48272098567286914
Argentina,910,40,0.27475,0.225,0.17998557634518297,0.09476442365481702,0.45473557634518297
Argentina,920,45,0.28111111111111114,0.2,0.20302510169728255,0.0780860094138286,0.4841362128083937
Argentina,930,50,0.3012,0.22,0.21096125962181891,0.09023874037818111,0.5121612596218189
Argentina,940,50,0.37560000000000004,0.32,0.19131297149232848,0.18428702850767156,0.5669129714923286
